"sample_id","condition","replicate","cluster_id","n_cells","prop_within_sample"
"Trem2_KO2","Trem2_KO",2,"20",98,0.0122714750813924
"Trem2_KO2","Trem2_KO",2,"28",10,0.00125219133483596
"Trem2_KO2","Trem2_KO",2,"27",26,0.0032556974705735
"Trem2_KO3","Trem2_KO",3,"8",565,0.0710781230343439
"Trem2_KO3","Trem2_KO",3,"9",268,0.0337149326959366
"Trem2_KO3","Trem2_KO",3,"15",190,0.023902377657567
"Trem2_KO3","Trem2_KO",3,"7",447,0.0562334884891181
"Trem2_KO3","Trem2_KO",3,"6",464,0.058372122279532
"Trem2_KO3","Trem2_KO",3,"11",345,0.0434016857466348
"Trem2_KO3","Trem2_KO",3,"5",461,0.0579947163165178
"Trem2_KO3","Trem2_KO",3,"4",512,0.0644106176877595
"Trem2_KO3","Trem2_KO",3,"30",5,0.000629009938357026
"Trem2_KO3","Trem2_KO",3,"0",1224,0.1539816329098
"Trem2_KO3","Trem2_KO",3,"19",100,0.0125801987671405
"Trem2_KO3","Trem2_KO",3,"18",73,0.00918354510001258
"Trem2_KO3","Trem2_KO",3,"17",31,0.00389986161781356
"Trem2_KO3","Trem2_KO",3,"16",105,0.0132092087054975
"Trem2_KO3","Trem2_KO",3,"25",35,0.00440306956849918
"Trem2_KO3","Trem2_KO",3,"24",40,0.00503207950685621
"Trem2_KO3","Trem2_KO",3,"14",266,0.0334633287205938
"Trem2_KO3","Trem2_KO",3,"13",229,0.0288086551767518
"Trem2_KO3","Trem2_KO",3,"22",61,0.00767392124795572
"Trem2_KO3","Trem2_KO",3,"21",100,0.0125801987671405
"Trem2_KO3","Trem2_KO",3,"10",442,0.0556044785507611
"Trem2_KO3","Trem2_KO",3,"1",649,0.081645489998742
"Trem2_KO3","Trem2_KO",3,"2",616,0.0774940244055856
"Trem2_KO3","Trem2_KO",3,"29",10,0.00125801987671405
"Trem2_KO3","Trem2_KO",3,"28",13,0.00163542583972827
"Trem2_KO3","Trem2_KO",3,"27",22,0.00276764372877091
"Trem2_KO3","Trem2_KO",3,"26",20,0.0025160397534281
"Trem2_KO3","Trem2_KO",3,"3",535,0.0673040634042018
"Trem2_KO3","Trem2_KO",3,"23",52,0.00654170335891307
"Trem2_KO3","Trem2_KO",3,"20",69,0.00868033714932696
"WT_5XFAD1","WT_5XFAD",1,"16",104,0.0155758574209975
"WT_5XFAD1","WT_5XFAD",1,"22",58,0.00868653586940243
"WT_5XFAD1","WT_5XFAD",1,"13",200,0.0299535719634566
